Longitude_Latitude,ProfileID
"(-16.50698122059441, 14.589540770954374)",IRD_1
"(-16.506997857480123, 14.589766642649971)",IRD_2
"(-16.50481317850653, 14.590471649283188)",IRD_3
"(-16.50465204783986, 14.589833517308367)",IRD_4
"(-16.504732830503073, 14.589508422152495)",IRD_5
"(-16.50382135663012, 14.59011156050252)",IRD_6
"(-16.502642573874223, 14.588947121972398)",IRD_7
"(-16.50278669857985, 14.590483651977955)",IRD_8
"(-16.503125662277043, 14.590647874739055)",IRD_9
"(-16.505389786070417, 14.589115482988158)",IRD_10
"(-16.500986805745914, 14.579464652335734)",IRD_11
"(-16.507865037377435, 14.585908536552227)",IRD_12
"(-16.529097866651092, 14.61164894524053)",IRD_13
"(-16.528639407399186, 14.611988669980342)",IRD_14
"(-16.527174887351578, 14.61281252739986)",IRD_15
"(-16.52889227567515, 14.613293882214867)",IRD_16
"(-16.529205831599658, 14.613772549343047)",IRD_17
"(-16.533504268903478, 14.617481587720153)",IRD_18
"(-16.533731438640686, 14.617996735183388)",IRD_19
"(-16.53130759909641, 14.617060969202456)",IRD_20
"(-16.531457943888814, 14.61736986401856)",IRD_21
"(-16.531867292457797, 14.615426486139008)",IRD_22
"(-16.53038087257941, 14.611128838739246)",IRD_23
"(-16.535109124511937, 14.617341400693892)",IRD_24
"(-16.534197663673, 14.618212638092887)",IRD_25
"(-16.534067437084353, 14.616938299963435)",IRD_26
"(-16.532949855948942, 14.616607153150692)",IRD_27
"(-16.531205318580152, 14.615666600182253)",IRD_28
"(-16.530484678405994, 14.614508910732507)",IRD_29
"(-16.52356946850488, 14.618729387094815)",IRD_30
"(-16.52355340641703, 14.618956870107503)",IRD_31
"(-16.523713420236838, 14.614641697202217)",IRD_32
"(-16.523666313258786, 14.61425398176645)",IRD_33
"(-16.534593532447417, 14.617742271485774)",IRD_34
"(-16.534269271315704, 14.617552587142276)",IRD_35
"(-16.508668295334893, 14.595417376271431)",IRD_36
"(-16.507910650139856, 14.594507672446289)",IRD_37
"(-16.50770134770764, 14.596155323241252)",IRD_38
"(-16.519736198401024, 14.582676951718355)",IRD_39
"(-16.524270693066764, 14.586245966774975)",IRD_40
"(-16.520648589506642, 14.58384697460748)",IRD_41
"(-16.51880615422117, 14.583442952247877)",IRD_42
"(-16.51867337268744, 14.584251844729378)",IRD_43
"(-16.506811933793085, 14.588985705915023)",IRD_44
"(-16.506575259176905, 14.589784419215109)",IRD_45
"(-16.50665655669816, 14.590303905989726)",IRD_46
"(-16.50642188005356, 14.59088367750733)",IRD_47
"(-16.505954253190755, 14.588731400100357)",IRD_48
"(-16.50742054444979, 14.588976616826045)",IRD_49
"(-16.507849431936396, 14.59552674900747)",IRD_50
"(-16.50835698856175, 14.591931082813172)",IRD_51
"(-16.5050040023925, 14.586429411894523)",IRD_52
"(-16.505923264365617, 14.590139719227578)",IRD_53
"(-16.50585422351707, 14.589152810598994)",IRD_54
"(-16.506226723137626, 14.588489436590807)",IRD_55
"(-16.5090413717264, 14.589663138805063)",IRD_56
"(-16.50920073682965, 14.587090047753545)",IRD_57
"(-16.5076503135905, 14.58612103293121)",IRD_58
"(-16.509515820855682, 14.590788086264997)",IRD_59
"(-16.50876584265981, 14.590815765621437)",IRD_60
"(-16.51010615615733, 14.58301417123942)",IRD_61
"(-16.50845032427745, 14.584899037242378)",IRD_62
"(-16.51360033024824, 14.600778990539622)",IRD_63
"(-16.514166016398264, 14.600640959267126)",IRD_64
"(-16.51484915107633, 14.601286484954773)",IRD_65
"(-16.51443042590089, 14.601424594631045)",IRD_66
"(-16.5145247643102, 14.60099436077934)",IRD_67
"(-16.514849080352803, 14.600811914144103)",IRD_68
"(-16.527944132621347, 14.612301473909982)",IRD_69
