ProfileID,Longitude,Latitude,T_Year,Start_Date,End_Date,Satellite,error,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B7,QA_PIXEL
BI W3_0025,29.316667,-3.366667,1983,1983-01-01,1983-12-31,Landsat-3,get_landsat_data 1 : Aucune image trouvée pour  Landsat-3 1983-01-01-1983-12-31,,,,,,,
BI SOTER_Z,29.92,-3.25,1983,1983-01-01,1983-12-31,Landsat-3,get_landsat_data 1 : Aucune image trouvée pour  Landsat-3 1983-01-01-1983-12-31,,,,,,,
BI SOTER_X,29.91164,-3.073,1983,1983-01-01,1983-12-31,Landsat-3,get_landsat_data 1 : Aucune image trouvée pour  Landsat-3 1983-01-01-1983-12-31,,,,,,,
BI SOTER_M,29.5,-3.166667,1982,1982-01-01,1982-12-31,Landsat-3,get_landsat_data 1 : Aucune image trouvée pour  Landsat-3 1982-01-01-1982-12-31,,,,,,,
BI wasp_2,29.55,-3.257,1983,1983-01-01,1983-12-31,Landsat-3,get_landsat_data 1 : Aucune image trouvée pour  Landsat-3 1983-01-01-1983-12-31,,,,,,,
BI wasp_3,29.551,-3.267,1983,1983-01-01,1983-12-31,Landsat-3,get_landsat_data 1 : Aucune image trouvée pour  Landsat-3 1983-01-01-1983-12-31,,,,,,,
BI SOTER_U,29.083,-2.65,1982,1982-01-01,1982-12-31,Landsat-3,get_landsat_data 1 : Aucune image trouvée pour  Landsat-3 1982-01-01-1982-12-31,,,,,,,
AO W3_0028,15.016667,-10.616667,1986,1986-01-01,1986-12-31,Landsat-5,,8753.446180555555,9615.34722222222,9571.742063492062,16007.330357142857,15148.78546626984,12679.2839781746,5440.0
BI SOTER_K,29.68,-3.55,1984,1984-01-01,1984-12-31,Landsat-5,,9425.823326771657,10261.020177165356,10339.853592519688,17212.716781496067,15869.33415354331,12052.894685039371,5440.0
BF wasp_1,0.311389,11.970833,1997,1997-01-01,1997-12-31,Landsat-5,,10657.684236698158,11885.98557931377,13264.314271506712,15968.244903033315,18519.234460467425,15127.76802585778,5440.0
BJ W3_0006,1.9763,7.2161,1997,1997-01-01,1997-12-31,Landsat-5,get_landsat_data 1 : Aucune image trouvée pour  Landsat-5 1997-01-01-1997-12-31,,,,,,,
BI wasp_6,29.933333,-3.4,1983,1983-01-01,1983-12-31,Landsat-3,get_landsat_data 1 : Aucune image trouvée pour  Landsat-3 1983-01-01-1983-12-31,,,,,,,
BI wasp_5,29.75,-2.85,1983,1983-01-01,1983-12-31,Landsat-3,get_landsat_data 1 : Aucune image trouvée pour  Landsat-3 1983-01-01-1983-12-31,,,,,,,
BJ W3_0001,2.0294,7.0151,1997,1997-01-01,1997-12-31,Landsat-5,get_landsat_data 1 : Aucune image trouvée pour  Landsat-5 1997-01-01-1997-12-31,,,,,,,
BJ W3_0007,2.4996,6.6618,1996,1996-01-01,1996-12-31,Landsat-5,get_landsat_data 1 : Aucune image trouvée pour  Landsat-5 1996-01-01-1996-12-31,,,,,,,
BJ W3_0008,2.5033,7.3296,1997,1997-01-01,1997-12-31,Landsat-5,get_landsat_data 1 : Aucune image trouvée pour  Landsat-5 1997-01-01-1997-12-31,,,,,,,
BJ W3_0010,2.5868,7.2742,1997,1997-01-01,1997-12-31,Landsat-5,get_landsat_data 1 : Aucune image trouvée pour  Landsat-5 1997-01-01-1997-12-31,,,,,,,
BJ W3_0012,2.5899,7.2602,1997,1997-01-01,1997-12-31,Landsat-5,get_landsat_data 1 : Aucune image trouvée pour  Landsat-5 1997-01-01-1997-12-31,,,,,,,
BJ W3_0011,2.325,7.41,1996,1996-01-01,1996-12-31,Landsat-5,get_landsat_data 1 : Aucune image trouvée pour  Landsat-5 1996-01-01-1996-12-31,,,,,,,
BJ W3_0014,2.5262,7.3222,1997,1997-01-01,1997-12-31,Landsat-5,get_landsat_data 1 : Aucune image trouvée pour  Landsat-5 1997-01-01-1997-12-31,,,,,,,
BJ W3_0018,2.3495,7.384,1996,1996-01-01,1996-12-31,Landsat-5,get_landsat_data 1 : Aucune image trouvée pour  Landsat-5 1996-01-01-1996-12-31,,,,,,,
BJ W3_0004,2.3541,6.6016,1987,1987-01-01,1987-12-31,Landsat-5,,22284.81475086334,22336.238036507148,23229.1827824371,26102.341391218546,24877.477059694127,19558.63961519487,5896.0
BJ W3_0002,2.3708,6.5708,1987,1987-01-01,1987-12-31,Landsat-5,,11290.213757396448,12033.748520710058,11643.086045364891,16377.18466469428,13224.786982248523,10212.66272189349,5896.0
BJ W3_0005,2.4104,6.555,1987,1987-01-01,1987-12-31,Landsat-5,,11065.847026893662,12010.863557858376,12130.085862324204,15455.951394029114,16985.897606711078,13493.511966444607,5463.749321490254
BJ W3_0019,1.8082,6.9262,1997,1997-01-01,1997-12-31,Landsat-5,get_landsat_data 1 : Aucune image trouvée pour  Landsat-5 1997-01-01-1997-12-31,,,,,,,
BJ W3_0021,1.95,7.054,1997,1997-01-01,1997-12-31,Landsat-5,get_landsat_data 1 : Aucune image trouvée pour  Landsat-5 1997-01-01-1997-12-31,,,,,,,
BJ W3_0023,2.2391,7.1303,1997,1997-01-01,1997-12-31,Landsat-5,get_landsat_data 1 : Aucune image trouvée pour  Landsat-5 1997-01-01-1997-12-31,,,,,,,
BJ W3_0020,2.2896,7.0988,1997,1997-01-01,1997-12-31,Landsat-5,get_landsat_data 1 : Aucune image trouvée pour  Landsat-5 1997-01-01-1997-12-31,,,,,,,
BJ W3_0009,2.4166,6.8333,1987,1987-01-01,1987-12-31,Landsat-5,,11907.51467324291,12703.747225647345,12418.787916152894,15006.888532675708,14135.413563501847,11224.079408138095,5896.0
BJ W3_0022,2.2472,6.8811,1997,1997-01-01,1997-12-31,Landsat-5,get_landsat_data 1 : Aucune image trouvée pour  Landsat-5 1997-01-01-1997-12-31,,,,,,,
BJ W3_0025,2.1129,7.119,1997,1997-01-01,1997-12-31,Landsat-5,get_landsat_data 1 : Aucune image trouvée pour  Landsat-5 1997-01-01-1997-12-31,,,,,,,
BJ W3_0027,2.6738,7.2957,1997,1997-01-01,1997-12-31,Landsat-5,get_landsat_data 1 : Aucune image trouvée pour  Landsat-5 1997-01-01-1997-12-31,,,,,,,
BJ W3_0024,2.1597,7.2925,1997,1997-01-01,1997-12-31,Landsat-5,get_landsat_data 1 : Aucune image trouvée pour  Landsat-5 1997-01-01-1997-12-31,,,,,,,
BJ W3_0033,2.1341,7.5088,1997,1997-01-01,1997-12-31,Landsat-5,get_landsat_data 1 : Aucune image trouvée pour  Landsat-5 1997-01-01-1997-12-31,,,,,,,
BJ W3_0028,2.37,7.1444,1997,1997-01-01,1997-12-31,Landsat-5,get_landsat_data 1 : Aucune image trouvée pour  Landsat-5 1997-01-01-1997-12-31,,,,,,,
