ProfileID,Longitude,Latitude,T_Year,Start_Date,End_Date,Satellite,error,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B7,QA_PIXEL
MW lrep_MH10,34.96,-14.17,1988,1988-01-01,1988-12-31,Landsat-4,,9144.937756335508,9840.407715983913,9472.336212108554,17675.50901844751,13682.73102438882,10757.151885801391,5555.148857266495
MW lrep_MH100,35.1,-13.82,1988,1988-01-01,1988-12-31,Landsat-4,,9144.937756335508,9840.407715983913,9472.336212108554,17675.509018447505,13682.73102438882,10757.151885801391,5555.148857266495
MW lrep_MH104,35.17,-14.0,1988,1988-01-01,1988-12-31,Landsat-4,,9144.937756335508,9840.407715983913,9472.336212108554,17675.50901844751,13682.731024388817,10757.151885801391,5555.148857266495
MW lrep_MH103,35.2,-14.04,1988,1988-01-01,1988-12-31,Landsat-4,,9144.937756335508,9840.407715983913,9472.336212108554,17675.509018447505,13682.731024388817,10757.151885801391,5555.148857266494
MW lrep_MH108,35.29,-14.21,1988,1988-01-01,1988-12-31,Landsat-4,,10769.792976258574,10556.794905238134,10233.2950147112,17981.07564194679,13968.008697816766,10853.189114404411,5642.599920835979
MW lrep_MH1,35.21,-14.4,1988,1988-01-01,1988-12-31,Landsat-4,,10769.792976258574,10556.794905238134,10233.2950147112,17981.07564194679,13968.008697816766,10853.189114404411,5642.599920835979
MW lrep_MH109,35.28,-14.28,1988,1988-01-01,1988-12-31,Landsat-4,,10769.792976258574,10556.794905238134,10233.2950147112,17981.07564194679,13968.008697816766,10853.189114404411,5642.599920835979
MW lrep_MH106,35.29,-14.32,1988,1988-01-01,1988-12-31,Landsat-4,,10769.792976258574,10556.794905238134,10233.2950147112,17981.07564194679,13968.008697816766,10853.189114404411,5642.599920835979
MW lrep_MH105,35.2,-14.09,1988,1988-01-01,1988-12-31,Landsat-4,,9144.937756335508,9840.407715983913,9472.336212108554,17675.509018447505,13682.731024388817,10757.151885801391,5555.148857266494
MW lrep_MH101,35.14,-13.93,1988,1988-01-01,1988-12-31,Landsat-4,,9144.937756335506,9840.407715983913,9472.336212108554,17675.509018447505,13682.731024388817,10757.151885801391,5555.148857266494
MW lrep_MH11,35.02,-14.19,1988,1988-01-01,1988-12-31,Landsat-4,,9144.937756335506,9840.407715983913,9472.336212108554,17675.509018447505,13682.731024388817,10757.151885801391,5555.148857266494
MW lrep_MH110,35.27,-14.1,1988,1988-01-01,1988-12-31,Landsat-4,,10769.792976258574,10556.794905238134,10233.2950147112,17981.07564194679,13968.008697816766,10853.189114404411,5642.599920835979
MW lrep_MH112,35.25,-14.13,1988,1988-01-01,1988-12-31,Landsat-4,,10769.792976258574,10556.794905238134,10233.2950147112,17981.07564194679,13968.008697816766,10853.189114404411,5642.599920835979
MW lrep_MH111,35.28,-14.1,1988,1988-01-01,1988-12-31,Landsat-4,,10769.792976258574,10556.794905238134,10233.2950147112,17981.07564194679,13968.008697816766,10853.189114404411,5642.599920835979
MW lrep_MH113,35.23,-14.17,1988,1988-01-01,1988-12-31,Landsat-4,,10769.792976258574,10556.794905238134,10233.2950147112,17981.07564194679,13968.008697816766,10853.189114404411,5642.599920835979
MW lrep_MH114,35.24,-14.25,1988,1988-01-01,1988-12-31,Landsat-4,,10769.792976258574,10556.794905238134,10233.2950147112,17981.07564194679,13968.008697816766,10853.189114404411,5642.599920835979
MW lrep_MH115,35.08,-14.33,1988,1988-01-01,1988-12-31,Landsat-4,,9144.937756335506,9840.407715983913,9472.336212108554,17675.509018447505,13682.731024388817,10757.151885801391,5555.148857266494
MW lrep_MH116,35.01,-14.27,1988,1988-01-01,1988-12-31,Landsat-4,,9144.937756335506,9840.407715983913,9472.336212108554,17675.509018447505,13682.731024388817,10757.151885801391,5555.148857266494
MW lrep_MH117,35.41,-14.17,1988,1988-01-01,1988-12-31,Landsat-4,,10769.792976258574,10556.794905238134,10233.2950147112,17981.07564194679,13968.008697816766,10853.189114404411,5642.599920835979
MW lrep_MH12,34.9,-14.11,1988,1988-01-01,1988-12-31,Landsat-4,,9144.937756335506,9840.407715983913,9472.336212108554,17675.509018447505,13682.731024388817,10757.151885801391,5555.148857266494
MW lrep_MH118,35.42,-14.12,1988,1988-01-01,1988-12-31,Landsat-4,,10769.792976258574,10556.794905238134,10233.2950147112,17981.07564194679,13968.008697816766,10853.189114404411,5642.599920835979
MW lrep_MH121,35.46,-14.25,1988,1988-01-01,1988-12-31,Landsat-4,,10769.792976258574,10556.794905238134,10233.2950147112,17981.07564194679,13968.008697816766,10853.189114404411,5642.599920835979
MW lrep_MH124,35.39,-14.29,1988,1988-01-01,1988-12-31,Landsat-4,,10769.792976258574,10556.794905238134,10233.2950147112,17981.07564194679,13968.008697816766,10853.189114404411,5642.599920835979
MW lrep_MH126,35.4,-14.33,1988,1988-01-01,1988-12-31,Landsat-4,,10769.792976258574,10556.794905238134,10233.2950147112,17981.07564194679,13968.008697816766,10853.189114404411,5642.599920835979
MW lrep_MH120,35.48,-14.2,1988,1988-01-01,1988-12-31,Landsat-4,,10769.792976258574,10556.794905238134,10233.2950147112,17981.07564194679,13968.008697816766,10853.189114404411,5642.599920835979
MW lrep_MH123,35.4,-14.23,1988,1988-01-01,1988-12-31,Landsat-4,,10769.792976258574,10556.794905238134,10233.2950147112,17981.07564194679,13968.008697816766,10853.189114404411,5642.599920835979
MW lrep_MH125,35.36,-14.28,1988,1988-01-01,1988-12-31,Landsat-4,,10769.792976258574,10556.794905238134,10233.2950147112,17981.07564194679,13968.008697816766,10853.189114404411,5642.599920835979
MW lrep_MH127,35.37,-14.11,1988,1988-01-01,1988-12-31,Landsat-4,,10769.792976258574,10556.794905238134,10233.2950147112,17981.07564194679,13968.008697816766,10853.189114404411,5642.599920835979
MW lrep_MH128,35.33,-14.01,1988,1988-01-01,1988-12-31,Landsat-4,,10769.792976258574,10556.794905238134,10233.2950147112,17981.07564194679,13968.008697816766,10853.189114404411,5642.599920835979
MW lrep_MH129,35.3,-14.07,1988,1988-01-01,1988-12-31,Landsat-4,,10769.792976258574,10556.794905238134,10233.2950147112,17981.07564194679,13968.008697816766,10853.189114404411,5642.599920835979
MW lrep_MH13,34.85,-14.03,1988,1988-01-01,1988-12-31,Landsat-4,,9144.937756335506,9840.407715983913,9472.336212108554,17675.509018447505,13682.731024388817,10757.151885801391,5555.148857266494
MW lrep_MH130,35.32,-14.06,1988,1988-01-01,1988-12-31,Landsat-4,,10769.792976258574,10556.794905238134,10233.2950147112,17981.07564194679,13968.008697816766,10853.189114404411,5642.599920835979
MW lrep_MH144,35.38,-14.51,1988,1988-01-01,1988-12-31,Landsat-4,,10769.792976258574,10556.794905238134,10233.2950147112,17981.07564194679,13968.008697816766,10853.189114404411,5642.599920835979
MW lrep_MH133,35.34,-14.23,1988,1988-01-01,1988-12-31,Landsat-4,,10769.792976258574,10556.794905238134,10233.2950147112,17981.07564194679,13968.008697816766,10853.189114404411,5642.599920835979
MW lrep_MH145,35.38,-14.52,1988,1988-01-01,1988-12-31,Landsat-4,,10769.792976258574,10556.794905238134,10233.2950147112,17981.07564194679,13968.008697816766,10853.189114404411,5642.599920835979
MW lrep_MH131,35.39,-14.07,1988,1988-01-01,1988-12-31,Landsat-4,,10769.792976258574,10556.794905238134,10233.2950147112,17981.07564194679,13968.008697816766,10853.189114404411,5642.599920835979
MW lrep_MH132,35.37,-14.16,1988,1988-01-01,1988-12-31,Landsat-4,,10769.792976258574,10556.794905238134,10233.2950147112,17981.07564194679,13968.008697816766,10853.189114404411,5642.599920835979
MW lrep_MH146,35.39,-14.51,1988,1988-01-01,1988-12-31,Landsat-4,,10769.792976258574,10556.794905238134,10233.2950147112,17981.07564194679,13968.008697816766,10853.189114404411,5642.599920835979
MW lrep_MH149,35.36,-14.56,1988,1988-01-01,1988-12-31,Landsat-4,,10769.792976258574,10556.794905238134,10233.2950147112,17981.07564194679,13968.008697816766,10853.189114404411,5642.599920835979
MW lrep_MH15,34.84,-14.14,1988,1988-01-01,1988-12-31,Landsat-4,,9144.937756335506,9840.407715983913,9472.336212108554,17675.509018447505,13682.731024388817,10757.151885801391,5555.148857266494
MW lrep_MH150,35.37,-14.53,1988,1988-01-01,1988-12-31,Landsat-4,,10769.792976258574,10556.794905238134,10233.2950147112,17981.07564194679,13968.008697816766,10853.189114404411,5642.599920835979
MW lrep_MH152,35.36,-14.55,1988,1988-01-01,1988-12-31,Landsat-4,,10769.792976258574,10556.794905238134,10233.2950147112,17981.07564194679,13968.008697816766,10853.189114404411,5642.599920835979
MW lrep_MH156,35.37,-14.76,1988,1988-01-01,1988-12-31,Landsat-4,,10769.792976258574,10556.794905238134,10233.2950147112,17981.07564194679,13968.008697816766,10853.189114404411,5642.599920835979
MW lrep_MH16,34.92,-14.08,1988,1988-01-01,1988-12-31,Landsat-4,,9144.937756335506,9840.407715983913,9472.336212108554,17675.509018447505,13682.731024388817,10757.151885801391,5555.148857266494
MW lrep_MH161,35.04,-14.35,1988,1988-01-01,1988-12-31,Landsat-4,,9144.937756335508,9840.407715983913,9472.336212108554,17675.509018447505,13682.731024388817,10757.151885801391,5555.148857266494
MW lrep_MH162,34.92,-14.3,1988,1988-01-01,1988-12-31,Landsat-4,,9144.937756335506,9840.407715983913,9472.336212108554,17675.509018447505,13682.731024388817,10757.151885801391,5555.148857266494
MW lrep_MH163,34.91,-14.26,1988,1988-01-01,1988-12-31,Landsat-4,,9144.937756335506,9840.407715983913,9472.336212108554,17675.509018447505,13682.731024388817,10757.151885801391,5555.148857266494
MW lrep_MH160,35.04,-14.38,1988,1988-01-01,1988-12-31,Landsat-4,,9144.937756335506,9840.407715983913,9472.336212108554,17675.509018447505,13682.731024388817,10757.151885801391,5555.148857266494
MW lrep_MH164,34.91,-14.23,1988,1988-01-01,1988-12-31,Landsat-4,,9144.937756335506,9840.407715983913,9472.336212108554,17675.509018447505,13682.731024388817,10757.151885801391,5555.148857266494
MW lrep_MH166,35.68,-14.51,1988,1988-01-01,1988-12-31,Landsat-4,,10769.792976258574,10556.794905238134,10233.2950147112,17981.07564194679,13968.008697816766,10853.189114404411,5642.599920835979
MW lrep_MH165,35.62,-14.45,1988,1988-01-01,1988-12-31,Landsat-4,,10769.792976258574,10556.794905238134,10233.2950147112,17981.07564194679,13968.008697816766,10853.189114404411,5642.599920835979
MW lrep_MH168,35.69,-14.52,1988,1988-01-01,1988-12-31,Landsat-4,,10769.792976258574,10556.794905238134,10233.2950147112,17981.07564194679,13968.008697816766,10853.189114404411,5642.599920835979
MW lrep_MH169,35.7,-14.57,1988,1988-01-01,1988-12-31,Landsat-4,,10769.792976258574,10556.794905238134,10233.2950147112,17981.07564194679,13968.008697816766,10853.189114404411,5642.599920835979
MW lrep_MH171,35.62,-14.55,1988,1988-01-01,1988-12-31,Landsat-4,,10769.792976258574,10556.794905238134,10233.2950147112,17981.07564194679,13968.008697816766,10853.189114404411,5642.599920835979
MW lrep_MH17,34.92,-14.19,1988,1988-01-01,1988-12-31,Landsat-4,,9144.937756335506,9840.407715983913,9472.336212108554,17675.509018447505,13682.731024388817,10757.151885801391,5555.148857266494
MW lrep_MH170,35.74,-14.58,1988,1988-01-01,1988-12-31,Landsat-4,,10769.792976258574,10556.794905238134,10233.2950147112,17981.07564194679,13968.008697816766,10853.189114404411,5642.599920835979
MW lrep_MH173,35.65,-14.59,1988,1988-01-01,1988-12-31,Landsat-4,,10769.792976258574,10556.794905238134,10233.2950147112,17981.07564194679,13968.008697816766,10853.189114404411,5642.599920835979
MW lrep_MH172,35.65,-14.55,1988,1988-01-01,1988-12-31,Landsat-4,,10769.792976258574,10556.794905238134,10233.2950147112,17981.07564194679,13968.008697816766,10853.189114404411,5642.599920835979
MW lrep_MH176,35.56,-14.53,1988,1988-01-01,1988-12-31,Landsat-4,,10769.792976258574,10556.794905238134,10233.2950147112,17981.07564194679,13968.008697816766,10853.189114404411,5642.599920835979
MW lrep_MH175,35.47,-14.54,1988,1988-01-01,1988-12-31,Landsat-4,,10769.792976258574,10556.794905238134,10233.2950147112,17981.07564194679,13968.008697816766,10853.189114404411,5642.599920835979
MW lrep_MH174,35.52,-14.54,1988,1988-01-01,1988-12-31,Landsat-4,,10769.792976258574,10556.794905238134,10233.2950147112,17981.07564194679,13968.008697816766,10853.189114404411,5642.599920835979
MW lrep_MH178,35.53,-14.68,1988,1988-01-01,1988-12-31,Landsat-4,,10769.792976258574,10556.794905238134,10233.2950147112,17981.07564194679,13968.008697816766,10853.189114404411,5642.599920835979
MW lrep_MH177,35.53,-14.62,1988,1988-01-01,1988-12-31,Landsat-4,,10769.792976258574,10556.794905238134,10233.2950147112,17981.07564194679,13968.008697816766,10853.189114404411,5642.599920835979
MW lrep_MH179,35.23,-13.9,1988,1988-01-01,1988-12-31,Landsat-4,,9144.937756335506,9840.407715983913,9472.336212108554,17675.509018447505,13682.731024388817,10757.151885801391,5555.148857266494
MW lrep_MH180,35.24,-13.91,1988,1988-01-01,1988-12-31,Landsat-4,,9144.937756335506,9840.407715983913,9472.336212108554,17675.509018447505,13682.731024388817,10757.151885801391,5555.148857266494
MW lrep_MH18,34.9,-14.2,1988,1988-01-01,1988-12-31,Landsat-4,,9144.937756335506,9840.407715983913,9472.336212108554,17675.509018447505,13682.731024388817,10757.151885801391,5555.148857266494
MW lrep_MH182,35.38,-14.18,1988,1988-01-01,1988-12-31,Landsat-4,,10769.792976258574,10556.794905238134,10233.2950147112,17981.07564194679,13968.008697816766,10853.189114404411,5642.599920835979
MW lrep_MH183,35.47,-14.29,1988,1988-01-01,1988-12-31,Landsat-4,,10769.792976258574,10556.794905238134,10233.2950147112,17981.07564194679,13968.008697816766,10853.189114404411,5642.599920835979
MW lrep_MH181,35.26,-13.92,1988,1988-01-01,1988-12-31,Landsat-4,,10769.792976258574,10556.794905238134,10233.2950147112,17981.07564194679,13968.008697816766,10853.189114404411,5642.599920835979
MW lrep_MH187,35.36,-14.42,1988,1988-01-01,1988-12-31,Landsat-4,,10769.792976258574,10556.794905238134,10233.2950147112,17981.07564194679,13968.008697816766,10853.189114404411,5642.599920835979
