ProfileID,Longitude,Latitude,T_Year,Start_Date,End_Date,Satellite,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,QA_PIXEL
IRD_7,-16.502642573874223,14.588947121972398,2016,2016-01-01,2016-12-31,Landsat-8,10268.309171597633,11132.600345167653,13545.008629191321,16106.323964497044,20873.758382643002,27548.27144970415,24964.08160749507,21824.0
IRD_2,-16.506997857480123,14.589766642649971,2016,2016-01-01,2016-12-31,Landsat-8,9476.740877712033,10418.246794871799,12555.101577909269,14657.001972386586,19413.099852071005,24388.841962524653,21350.949211045365,21824.0
IRD_6,-16.50382135663012,14.59011156050252,2016,2016-01-01,2016-12-31,Landsat-8,10320.115820601284,11134.059881715133,13588.687284376543,16373.81986200099,21028.66732380483,27669.88861508133,25331.031789058656,21824.0
IRD_1,-16.50698122059441,14.589540770954374,2016,2016-01-01,2016-12-31,Landsat-8,9543.609507217521,10508.481085116977,12705.225236436045,14883.338974614237,19704.76679940269,24842.89447486312,21748.758337481333,21824.0
IRD_4,-16.50465204783986,14.589833517308367,2016,2016-01-01,2016-12-31,Landsat-8,10206.259669869425,11047.254988913528,13396.839122936686,15979.525991623554,20786.49371766445,26937.957871396902,24406.205222961325,21824.0
IRD_8,-16.50278669857985,14.590483651977955,2016,2016-01-01,2016-12-31,Landsat-8,10484.168279970214,11268.554231819313,13729.984611566146,16581.2819558203,21152.587987093568,27941.085629188383,25485.73715562174,21824.0
IRD_3,-16.50481317850653,14.590471649283188,2016,2016-01-01,2016-12-31,Landsat-8,10451.583992094862,11356.244812252962,13935.93848814229,16747.190711462452,21432.248517786556,28306.220849802365,25935.086462450592,21824.0
IRD_5,-16.504732830503073,14.589508422152495,2016,2016-01-01,2016-12-31,Landsat-8,10054.93911757456,10857.479418289377,13023.466600936654,15352.832634951934,20152.980280995806,25810.912989894012,23300.088489031306,21824.0
IRD_10,-16.505389786070417,14.589115482988158,2016,2016-01-01,2016-12-31,Landsat-8,10131.223946784925,10982.46957378665,13241.775314116778,15636.023404779504,20371.405272234544,26693.46858832225,24160.32618871643,21824.0
IRD_9,-16.503125662277043,14.590647874739055,2016,2016-01-01,2016-12-31,Landsat-8,10453.977856064417,11258.244841469554,13736.29542023151,16582.713135379974,21135.547559134375,27987.201308505286,25473.583291394072,21824.0
IRD_11,-16.500986805745914,14.579464652335734,2016,2016-01-01,2016-12-31,Landsat-8,9983.885108481263,10838.303007889544,13123.226331360947,15503.214990138069,20180.349112426033,26367.352810650893,23667.6375739645,21824.0
IRD_12,-16.507865037377435,14.585908536552227,2016,2016-01-01,2016-12-31,Landsat-8,10508.36815920398,11310.35995024876,13835.451243781094,16914.312189054726,21464.41194029851,28205.33308457712,25787.119651741294,21824.0
IRD_16,-16.52889227567515,14.613293882214867,2016,2016-01-01,2016-12-31,Landsat-8,9889.188919391065,10648.528075867232,12607.930122286,14776.794359870228,18991.23783379087,26651.12927377091,23891.999500873477,21824.0
IRD_14,-16.528639407399186,14.611988669980342,2016,2016-01-01,2016-12-31,Landsat-8,9946.168268046316,10693.276915496428,12714.751662971172,14936.633653609262,19210.80709534368,26418.61443705346,23523.511456023654,21824.0
IRD_13,-16.529097866651092,14.61164894524053,2016,2016-01-01,2016-12-31,Landsat-8,10043.658698866438,10804.475110892066,12929.019960571713,15230.111384918684,19452.3048299655,26989.846968950224,24268.555446032537,21824.0
IRD_15,-16.527174887351578,14.61281252739986,2016,2016-01-01,2016-12-31,Landsat-8,9851.483982257269,10655.945293247905,12725.567520946279,15010.95046821094,19700.74149827501,26605.118038442582,23082.997289305073,21824.0
IRD_17,-16.529205831599658,14.613772549343047,2016,2016-01-01,2016-12-31,Landsat-8,9962.705055487051,10745.136621454993,12757.69691738594,14975.867817509245,19171.142293464854,26902.236744759557,24172.10086313193,21824.0
IRD_18,-16.533504268903478,14.617481587720153,2016,2016-01-01,2016-12-31,Landsat-8,9948.885573366213,10651.953884093711,12476.214303329223,14502.747225647348,18528.846115906294,25861.539827373617,23123.52774352651,21824.0
IRD_19,-16.533731438640686,14.617996735183388,2016,2016-01-01,2016-12-31,Landsat-8,10038.537703302121,10726.458846722522,12587.796205027107,14707.962296697884,18956.711927057666,26433.101774273044,23690.487925086247,21824.0
IRD_20,-16.53130759909641,14.617060969202456,2016,2016-01-01,2016-12-31,Landsat-8,9876.577728504562,10652.47647203745,12742.834195614683,14937.735649174678,19162.902192658294,26231.673072185273,23120.747228381373,21824.0
IRD_21,-16.531457943888814,14.61736986401856,2016,2016-01-01,2016-12-31,Landsat-8,9919.965628091002,10711.254451038576,12844.029673590507,15069.993076162218,19296.66988130564,26289.817012858555,23176.747774480722,21824.0
IRD_22,-16.531867292457797,14.615426486139008,2016,2016-01-01,2016-12-31,Landsat-8,10080.398373983742,10866.686622320767,13088.77556048288,15561.510716925355,19812.9761024883,27283.901207193892,24337.554323725057,21824.0
IRD_24,-16.535109124511937,14.617341400693892,2016,2016-01-01,2016-12-31,Landsat-8,9922.813947757519,10698.187530803354,12729.827254805326,15025.979053721048,19337.375061606712,26597.431000492856,23567.71340561854,21824.0
IRD_25,-16.534197663673,14.618212638092887,2016,2016-01-01,2016-12-31,Landsat-8,9964.113821138206,10724.338753387528,12794.602365114559,15119.14313870411,19513.547179108155,26717.363636363636,23744.41734417344,21824.0
IRD_23,-16.53038087257941,14.611128838739246,2016,2016-01-01,2016-12-31,Landsat-8,9825.089923626507,10606.89775806849,12636.190194629218,14836.391722099037,19025.40699679724,26521.11899482632,23519.813993594486,21824.0
IRD_26,-16.534067437084353,14.616938299963435,2016,2016-01-01,2016-12-31,Landsat-8,9858.35453648915,10610.05621301775,12513.276627218936,14630.859960552267,18824.965236686392,25994.825936883626,23026.782297830374,21824.0
IRD_28,-16.531205318580152,14.615666600182253,2016,2016-01-01,2016-12-31,Landsat-8,10008.695512820514,10758.203648915185,12820.382149901383,15093.722386587771,19174.7216469428,26833.869822485205,24076.645463510846,21824.0
IRD_27,-16.532949855948942,14.616607153150692,2016,2016-01-01,2016-12-31,Landsat-8,10163.766444937175,10964.744025622074,13252.334072431628,15804.863513180584,20087.157920670114,27418.656565656565,24379.717418083266,21824.0
IRD_29,-16.530484678405994,14.614508910732507,2016,2016-01-01,2016-12-31,Landsat-8,9846.308508014798,10620.308754623922,12499.017509247842,14624.795807644883,19011.059679408143,26222.93316892725,23085.700616522812,21824.0
IRD_31,-16.52355340641703,14.618956870107503,2016,2016-01-01,2016-12-31,Landsat-8,9941.842144452718,10720.370811615785,12765.231322908912,15037.259617771157,19275.158103747824,26478.4668652271,23592.75775626706,21824.0
IRD_32,-16.523713420236838,14.614641697202217,2016,2016-01-01,2016-12-31,Landsat-8,9947.390927119483,10745.334159643033,12770.338373822506,15028.514625681706,19392.05999008428,26702.290530490827,23876.38968765493,21824.0
IRD_30,-16.52356946850488,14.618729387094815,2016,2016-01-01,2016-12-31,Landsat-8,9965.989157220303,10753.630113356336,12835.578610152786,15134.270823065552,19333.20798422869,26563.18531296206,23725.167570231646,21824.0
IRD_33,-16.523666313258786,14.61425398176645,2016,2016-01-01,2016-12-31,Landsat-8,9924.001478196598,10665.826311899482,12537.140182310915,14652.9923626509,18990.77728504558,26378.848731214577,23578.57058388765,21824.0
IRD_35,-16.534269271315704,14.617552587142276,2016,2016-01-01,2016-12-31,Landsat-8,9967.991617356998,10730.955128205127,12720.565088757394,14961.196745562125,19261.15162721893,26645.195019723866,23741.012573964494,21824.0
IRD_34,-16.534593532447417,14.617742271485774,2016,2016-01-01,2016-12-31,Landsat-8,9984.4145920631,10750.19595760414,12802.30145427656,15141.220852846933,19533.07739709144,26850.306137540058,23910.61301454277,21824.0
IRD_36,-16.508668295334893,14.595417376271431,2016,2016-01-01,2016-12-31,Landsat-8,10169.66584463625,10987.144019728732,13276.182737361285,15697.461405672013,20157.612083847103,27403.137607891502,24743.562762022197,21824.0
IRD_37,-16.507910650139856,14.594507672446289,2016,2016-01-01,2016-12-31,Landsat-8,9941.203845205817,10709.119299975351,12822.428888341137,15039.164900172542,19730.55533645551,26369.730589105253,23558.3063840276,21824.0
IRD_38,-16.50770134770764,14.596155323241252,2016,2016-01-01,2016-12-31,Landsat-8,10008.487185805816,10790.854608181366,12915.706259241002,15169.88910793494,19641.783883686545,26934.849679645144,24163.329472646627,21824.0
IRD_39,-16.519736198401024,14.582676951718355,2016,2016-01-01,2016-12-31,Landsat-8,10013.628391959799,10790.486683417088,12909.570854271356,15213.272613065326,19781.628140703524,26805.11532663317,23978.9040201005,21824.0
IRD_40,-16.524270693066764,14.586245966774975,2016,2016-01-01,2016-12-31,Landsat-8,9837.174470182355,10637.47979300148,12802.595367175949,15034.007146377524,19841.110892065055,26489.67274519468,23404.32725480532,21824.0
IRD_41,-16.520648589506642,14.58384697460748,2016,2016-01-01,2016-12-31,Landsat-8,10396.42054693274,11212.056417836904,13718.206947524019,16542.552845528455,21135.529440748953,27971.388272973636,25300.77556048288,21824.0
IRD_43,-16.51867337268744,14.584251844729378,2016,2016-01-01,2016-12-31,Landsat-8,10380.943293885604,11211.588510848127,13631.851824457595,16233.00714990138,20893.92899408284,27743.570512820515,25211.456360946744,21824.0
IRD_45,-16.506575259176905,14.589784419215109,2016,2016-01-01,2016-12-31,Landsat-8,9724.80103550296,10660.847633136096,12868.900394477318,15134.97386587771,19996.845907297833,25707.639546351085,22717.15187376726,21824.0
IRD_42,-16.51880615422117,14.583442952247877,2016,2016-01-01,2016-12-31,Landsat-8,10193.132955106066,11010.437099161321,13352.806364084852,15913.023186975826,20609.297483966453,27259.007893438575,24485.078934385787,21824.0
IRD_44,-16.506811933793085,14.588985705915023,2016,2016-01-01,2016-12-31,Landsat-8,9949.919358816276,10959.184463625154,13297.866584463627,15652.869543773117,20637.305795314427,26262.222194821206,23163.648088779286,21824.0
IRD_48,-16.505954253190755,14.588731400100357,2016,2016-01-01,2016-12-31,Landsat-8,10151.219481500128,11083.092373521271,13455.939340548703,15972.401711552986,20806.153788069467,27202.534356909146,24473.25975333502,21824.0
IRD_46,-16.50665655669816,14.590303905989726,2016,2016-01-01,2016-12-31,Landsat-8,9809.318865598027,10699.231565967939,12931.430086313194,15235.926017262636,20053.237484586927,25896.785450061656,22961.47620221948,21824.0
IRD_47,-16.50642188005356,14.59088367750733,2016,2016-01-01,2016-12-31,Landsat-8,10371.11270036991,11285.864364981502,13824.447348951908,16581.88162762022,21458.7166461159,28060.327250308263,25288.843649815037,21824.0
IRD_50,-16.507849431936396,14.59552674900747,2016,2016-01-01,2016-12-31,Landsat-8,10050.571570576545,10845.391153081513,13018.971918489067,15365.10611332008,19926.815606361833,27248.983349900598,24494.208499005974,21824.0
IRD_52,-16.5050040023925,14.586429411894523,2016,2016-01-01,2016-12-31,Landsat-8,10453.03085800301,11192.572002007026,13603.32137481184,16485.396387355744,20973.617410938285,28245.946562970395,25911.42875062719,21824.0
