ProfileID,Longitude,Latitude,T_Year,Start_Date,End_Date,Satellite,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,QA_PIXEL
2.0,-16.54993653136301,14.534547943898634,2020.0,2020-01-01,2020-12-31,Landsat-8,10613.400000000001,11463.400000000001,14057.800000000001,16709.4,21448.2,28162.6,26469.600000000002,21824.0
8.0,-16.550234053688207,14.547789651523612,2020.0,2020-01-01,2020-12-31,Landsat-8,10178.580952380955,11101.114285714288,13465.61904761905,16014.742857142857,20494.952380952378,27492.333333333332,24917.780952380956,21824.0
3.0,-16.549982311336667,14.536585797242642,2020.0,2020-01-01,2020-12-31,Landsat-8,10460.04761904762,11248.952380952382,13746.857142857145,16232.142857142857,21049.14285714286,27922.285714285714,26700.571428571428,21824.0
7.0,-16.550183397788537,14.54553550093014,2020.0,2020-01-01,2020-12-31,Landsat-8,10466.4,11366.8,13827.600000000002,16598.600000000002,21329.000000000004,28239.600000000002,26100.0,21824.0
4.0,-16.550031998601256,14.53879743913718,2020.0,2020-01-01,2020-12-31,Landsat-8,9855.51282051282,10629.871794871793,12886.48717948718,15039.153846153846,20002.923076923074,25337.384615384613,23067.153846153844,21824.0
5.0,-16.550082293044753,14.54103595796396,2020.0,2020-01-01,2020-12-31,Landsat-8,10026.960317460318,10935.492063492062,13347.753968253966,15796.119047619046,20226.412698412696,26940.2619047619,24652.22222222222,21824.0
1.0,-16.549902622600356,14.533038446299535,2020.0,2020-01-01,2020-12-31,Landsat-8,10683.0,11480.0,14032.0,16860.0,21588.0,28657.0,26636.0,21824.0
6.0,-16.550132796488263,14.54328362783641,2020.0,2020-01-01,2020-12-31,Landsat-8,10274.866666666667,11157.933333333334,13666.742857142857,16184.419047619045,21128.895238095236,27396.285714285714,25532.990476190476,21824.0
10.0,-16.550335457457482,14.552301587541375,2020.0,2020-01-01,2020-12-31,Landsat-8,9605.0,10259.0,11927.0,13326.0,18280.0,21471.0,19377.0,21824.0
9.0,-16.550284743851385,14.550045174300536,2020.0,2020-01-01,2020-12-31,Landsat-8,10525.0,11432.400000000001,13965.000000000002,16703.600000000002,21116.2,28573.0,26265.8,21824.0
13.0,-16.550487686945473,14.55907385554004,2020.0,2020-01-01,2020-12-31,Landsat-8,10180.12605042017,11054.504201680673,13224.226890756301,15621.151260504203,19993.176470588234,27907.285714285717,25689.126050420167,21824.0
12.0,-16.550436932231868,14.556816071848486,2020.0,2020-01-01,2020-12-31,Landsat-8,10681.457142857145,11605.87619047619,14284.92380952381,17035.552380952384,21578.01904761905,29120.4,27485.019047619047,21824.0
11.0,-16.550386188218766,14.554558611318214,2020.0,2020-01-01,2020-12-31,Landsat-8,10259.277777777777,11096.039682539682,13416.182539682539,15767.293650793648,20348.484126984127,26946.45238095238,24411.103174603177,21824.0
16.0,-16.550640000299186,14.565848478118836,2020.0,2020-01-01,2020-12-31,Landsat-8,9736.0,10577.0,12482.0,14540.0,18681.0,25339.0,22866.0,21824.0
15.0,-16.5505892220355,14.563590105716193,2020.0,2020-01-01,2020-12-31,Landsat-8,10436.495238095238,11257.695238095239,13744.29523809524,16391.590476190475,20464.257142857146,28232.68571428572,26444.409523809525,21824.0
14.0,-16.550538450621612,14.561331885008684,2020.0,2020-01-01,2020-12-31,Landsat-8,10543.0,11393.333333333334,13876.809523809523,16529.95238095238,21050.619047619046,28449.809523809523,27061.95238095238,21824.0
17.0,-16.55069078475322,14.568106972845625,2020.0,2020-01-01,2020-12-31,Landsat-8,10274.0,11116.0,13360.0,15847.0,20111.0,27887.0,26058.0,21824.0
19.0,-16.550792370346468,14.572624245261084,2020.0,2020-01-01,2020-12-31,Landsat-8,10150.777777777777,11005.611111111111,13104.500000000002,15444.5,19758.0,27029.888888888887,24910.944444444445,21824.0
20.0,-16.550843170797098,14.574882992267291,2020.0,2020-01-01,2020-12-31,Landsat-8,10079.12380952381,10793.64761904762,12808.4,14882.504761904762,19022.504761904762,26202.657142857144,23943.076190476193,21824.0
18.0,-16.55074157489763,14.570365567624805,2020.0,2020-01-01,2020-12-31,Landsat-8,10030.0,10805.2,12798.400000000001,14938.0,19187.2,26339.2,24405.4,21824.0
22.0,-16.550944785787987,14.579400653567646,2020.0,2020-01-01,2020-12-31,Landsat-8,10403.896825396825,11171.9126984127,13532.920634920636,15797.373015873016,20035.095238095237,27410.007936507936,25445.13492063492,21824.0
23.0,-16.550995599976783,14.581659552186808,2020.0,2020-01-01,2020-12-31,Landsat-8,9091.895238095238,9753.228571428572,11265.533333333333,12658.476190476189,17711.399999999998,21262.266666666666,17835.819047619047,21824.0
21.0,-16.55089397600885,14.57714179791592,2020.0,2020-01-01,2020-12-31,Landsat-8,10012.98076923077,10739.884615384615,12691.798076923076,14882.538461538463,19344.173076923078,26274.451923076922,24515.826923076922,21824.0
24.0,-16.551046418445537,14.583918487985802,2020.0,2020-01-01,2020-12-31,Landsat-8,10153.2,10929.600000000002,13145.6,15507.200000000003,20055.4,26894.600000000002,24477.0,21824.0
25.0,-16.55109724108665,14.586177456160089,2020.0,2020-01-01,2020-12-31,Landsat-8,10199.0,11026.0,13387.0,15777.0,20189.0,27472.0,25054.0,21824.0
27.0,-16.551198898540004,14.590695474177425,2020.0,2020-01-01,2020-12-31,Landsat-8,10195.009523809524,11003.009523809524,13220.485714285714,15750.828571428574,20027.952380952378,26928.371428571427,24346.019047619044,21824.0
26.0,-16.5511480678101,14.588436452687978,2020.0,2020-01-01,2020-12-31,Landsat-8,10243.0,11078.0,13387.0,15861.0,19918.0,26845.0,24156.0,21824.0
28.0,-16.551249733211964,14.592954517747414,2020.0,2020-01-01,2020-12-31,Landsat-8,10166.20634920635,10892.682539682539,13109.253968253968,15394.825396825398,19615.968253968254,26387.158730158728,24560.809523809523,21824.0
32.0,-16.551453110328964,14.601990868415706,2020.0,2020-01-01,2020-12-31,Landsat-8,10093.0,10935.0,13010.0,15665.0,19967.0,27873.0,25456.0,21824.0
31.0,-16.5514022603676,14.599731757980546,2020.0,2020-01-01,2020-12-31,Landsat-8,10181.06611570248,10889.214876033058,13022.661157024795,15362.950413223141,19608.719008264463,26729.17355371901,24467.776859504134,21824.0
